Model / Experiment,Accuracy,Precision,Recall,F1
Logistic Regression - Experiment 1,0.8307692307692308,0.0,0.0,0.0
Logistic Regression - Experiment 2A,0.9230769230769231,0.7272727272727273,0.8,0.7619047619047619
Logistic Regression - Experiment 2B,0.9307692307692308,0.7391304347826086,0.85,0.7906976744186046
Decision Tree - Experiment 1,0.8461538461538461,0.5,0.25,0.3333333333333333
Decision Tree - Experiment 2A,0.8923076923076924,0.65,0.65,0.65
Decision Tree - Experiment 2B,0.8923076923076924,0.65,0.65,0.65
Random Forest - Experiment 1,0.8384615384615385,0.45454545454545453,0.25,0.3225806451612903
Random Forest - Experiment 2A,0.8923076923076924,0.65,0.65,0.65
Random Forest - Experiment 2B,0.8769230769230769,0.5833333333333334,0.7,0.6363636363636364
