Model,Mean Accuracy,Mean Precision,Mean Recall,Mean F1,Mean ROC-AUC
Logistic Regression 2B - Default,0.9326923076923077,0.8165912518853695,0.725,0.762083226376886,0.9714488636363636
Logistic Regression 2B - Balanced,0.9056945481702764,0.6554921422663359,0.9125,0.7561376323579078,0.973153409090909
Random Forest 2B - Default,0.926867064973861,0.7755894080120086,0.75,0.75672985616534,0.9555218129571579
Random Forest 2B - Balanced,0.9249439880507844,0.7096128909229595,0.925,0.7950187131708871,0.9553675222048067
